sale_id,customer_id,sale_date,total_amount,status,payment_method,invoice_number
1,1,"2024-01-05",2397.00,"Completed","Credit Card","INV-2024-0001"
2,2,"2024-01-07",1299.00,"Completed","Bank Transfer","INV-2024-0002"
3,4,"2024-01-08",398.00,"Completed","Credit Card","INV-2024-0003"
4,5,"2024-01-10",158.00,"Completed","PayPal","INV-2024-0004"
5,6,"2024-01-12",118.00,"Completed","Credit Card","INV-2024-0005"
6,7,"2024-01-14",138.00,"Completed","Debit Card","INV-2024-0006"
7,8,"2024-01-16",798.00,"Completed","Credit Card","INV-2024-0007"
8,9,"2024-01-18",498.00,"Completed","Bank Transfer","INV-2024-0008"
9,10,"2024-01-20",178.00,"Completed","Credit Card","INV-2024-0009"
10,11,"2024-01-22",318.00,"Completed","Credit Card","INV-2024-0010"
11,12,"2024-01-24",898.00,"Completed","Bank Transfer","INV-2024-0011"
12,13,"2024-01-26",598.00,"Completed","Credit Card","INV-2024-0012"
13,14,"2024-01-28",1398.00,"Completed","Credit Card","INV-2024-0013"
14,15,"2024-01-30",698.00,"Completed","PayPal","INV-2024-0014"
15,16,"2024-02-01",298.00,"Completed","Credit Card","INV-2024-0015"
16,17,"2024-02-03",1498.00,"Completed","Bank Transfer","INV-2024-0016"
17,18,"2024-02-05",798.00,"Completed","Credit Card","INV-2024-0017"
18,19,"2024-02-07",998.00,"Completed","Credit Card","INV-2024-0018"
19,20,"2024-02-09",398.00,"Completed","PayPal","INV-2024-0019"
20,21,"2024-02-11",1598.00,"Completed","Credit Card","INV-2024-0020"
21,22,"2024-02-13",698.00,"Completed","Bank Transfer","INV-2024-0021"
22,23,"2024-02-15",1198.00,"Completed","Credit Card","INV-2024-0022"
23,24,"2024-02-17",898.00,"Completed","Credit Card","INV-2024-0023"
24,25,"2024-02-19",498.00,"Completed","PayPal","INV-2024-0024"
25,26,"2024-02-21",298.00,"Completed","Credit Card","INV-2024-0025"
26,27,"2024-02-23",798.00,"Completed","Bank Transfer","INV-2024-0026"
27,28,"2024-02-25",998.00,"Completed","Credit Card","INV-2024-0027"
28,29,"2024-02-27",398.00,"Completed","Credit Card","INV-2024-0028"
29,30,"2024-03-01",1598.00,"Completed","PayPal","INV-2024-0029"
30,31,"2024-03-03",698.00,"Completed","Credit Card","INV-2024-0030"
31,32,"2024-03-05",1198.00,"Completed","Bank Transfer","INV-2024-0031"
32,33,"2024-03-07",898.00,"Completed","Credit Card","INV-2024-0032"
33,34,"2024-03-09",498.00,"Completed","Credit Card","INV-2024-0033"
34,35,"2024-03-11",298.00,"Completed","PayPal","INV-2024-0034"
35,36,"2024-03-13",798.00,"Completed","Credit Card","INV-2024-0035"
36,37,"2024-03-15",998.00,"Completed","Bank Transfer","INV-2024-0036"
37,38,"2024-03-17",398.00,"Completed","Credit Card","INV-2024-0037"
38,39,"2024-03-19",1598.00,"Completed","Credit Card","INV-2024-0038"
39,40,"2024-03-21",698.00,"Completed","PayPal","INV-2024-0039"
40,41,"2024-03-23",1198.00,"Completed","Credit Card","INV-2024-0040"
41,42,"2024-03-25",898.00,"Completed","Bank Transfer","INV-2024-0041"
42,43,"2024-03-27",498.00,"Completed","Credit Card","INV-2024-0042"
43,44,"2024-03-29",298.00,"Completed","Credit Card","INV-2024-0043"
44,45,"2024-03-31",798.00,"Completed","PayPal","INV-2024-0044"
45,46,"2024-04-02",998.00,"Completed","Credit Card","INV-2024-0045"
46,47,"2024-04-04",398.00,"Completed","Bank Transfer","INV-2024-0046"
47,48,"2024-04-06",1598.00,"Completed","Credit Card","INV-2024-0047"
48,49,"2024-04-08",698.00,"Completed","Credit Card","INV-2024-0048"
49,50,"2024-04-10",1198.00,"Completed","PayPal","INV-2024-0049"
50,51,"2024-04-12",898.00,"Completed","Credit Card","INV-2024-0050"
51,52,"2024-04-14",498.00,"Completed","Bank Transfer","INV-2024-0051"
52,53,"2024-04-16",298.00,"Completed","Credit Card","INV-2024-0052"
53,54,"2024-04-18",798.00,"Completed","Credit Card","INV-2024-0053"
54,55,"2024-04-20",998.00,"Completed","PayPal","INV-2024-0054"
55,56,"2024-04-22",398.00,"Completed","Credit Card","INV-2024-0055"
56,57,"2024-04-24",1598.00,"Completed","Bank Transfer","INV-2024-0056"
57,58,"2024-04-26",698.00,"Completed","Credit Card","INV-2024-0057"
58,59,"2024-04-28",1198.00,"Completed","Credit Card","INV-2024-0058"
59,60,"2024-04-30",898.00,"Completed","PayPal","INV-2024-0059"
60,61,"2024-05-02",498.00,"Completed","Credit Card","INV-2024-0060"
61,62,"2024-05-04",298.00,"Completed","Bank Transfer","INV-2024-0061"
62,63,"2024-05-06",798.00,"Completed","Credit Card","INV-2024-0062"
63,64,"2024-05-08",998.00,"Completed","Credit Card","INV-2024-0063"
64,65,"2024-05-10",398.00,"Completed","PayPal","INV-2024-0064"
65,66,"2024-05-12",1598.00,"Completed","Credit Card","INV-2024-0065"
66,67,"2024-05-14",698.00,"Completed","Bank Transfer","INV-2024-0066"
67,68,"2024-05-16",1198.00,"Completed","Credit Card","INV-2024-0067"
68,69,"2024-05-18",898.00,"Completed","Credit Card","INV-2024-0068"
69,70,"2024-05-20",498.00,"Completed","PayPal","INV-2024-0069"
70,71,"2024-05-22",298.00,"Completed","Credit Card","INV-2024-0070"
71,72,"2024-05-24",798.00,"Completed","Bank Transfer","INV-2024-0071"
72,73,"2024-05-26",998.00,"Completed","Credit Card","INV-2024-0072"
73,74,"2024-05-28",398.00,"Completed","Credit Card","INV-2024-0073"
74,75,"2024-05-30",1598.00,"Completed","PayPal","INV-2024-0074"
75,76,"2024-06-01",698.00,"Completed","Credit Card","INV-2024-0075"
76,77,"2024-06-03",1198.00,"Completed","Bank Transfer","INV-2024-0076"
77,78,"2024-06-05",898.00,"Completed","Credit Card","INV-2024-0077"
78,79,"2024-06-07",498.00,"Completed","Credit Card","INV-2024-0078"
79,80,"2024-06-09",298.00,"Completed","PayPal","INV-2024-0079"
80,81,"2024-06-11",798.00,"Completed","Credit Card","INV-2024-0080"
81,82,"2024-06-13",998.00,"Completed","Bank Transfer","INV-2024-0081"
82,83,"2024-06-15",398.00,"Completed","Credit Card","INV-2024-0082"
83,84,"2024-06-17",1598.00,"Completed","Credit Card","INV-2024-0083"
84,85,"2024-06-19",698.00,"Completed","PayPal","INV-2024-0084"
85,86,"2024-06-21",1198.00,"Completed","Credit Card","INV-2024-0085"
86,87,"2024-06-23",898.00,"Completed","Bank Transfer","INV-2024-0086"
87,88,"2024-06-25",498.00,"Completed","Credit Card","INV-2024-0087"
88,89,"2024-06-27",298.00,"Completed","Credit Card","INV-2024-0088"
89,90,"2024-06-29",798.00,"Completed","PayPal","INV-2024-0089"
90,91,"2024-07-01",998.00,"Completed","Credit Card","INV-2024-0090"
91,92,"2024-07-03",398.00,"Completed","Bank Transfer","INV-2024-0091"
92,93,"2024-07-05",1598.00,"Completed","Credit Card","INV-2024-0092"
93,94,"2024-07-07",698.00,"Completed","Credit Card","INV-2024-0093"
94,95,"2024-07-09",1198.00,"Completed","PayPal","INV-2024-0094"
95,96,"2024-07-11",898.00,"Completed","Credit Card","INV-2024-0095"
96,97,"2024-07-13",498.00,"Completed","Bank Transfer","INV-2024-0096"
97,98,"2024-07-15",298.00,"Completed","Credit Card","INV-2024-0097"
98,99,"2024-07-17",798.00,"Completed","Credit Card","INV-2024-0098"
99,100,"2024-07-19",998.00,"Completed","PayPal","INV-2024-0099"
100,1,"2024-07-21",398.00,"Completed","Credit Card","INV-2024-0100"